Region,State,Broadcaster,Sport,Event,Month,ViewershipCount,AvgWatchTime,Gender,AgeGroup,Likes,Dislikes,OnlineStreams,TVViewers,RevenueGenerated
West,Goa,Star Sports,Hockey,Hockey India League,Jan,792452,118.5,Female,15-24,22919,3610,279866,512586,1301546.48
East,Bihar,Star Sports,Tennis,India Tennis Cup,Feb,1479626,99.3,Male,45+,41772,3031,632322,847304,2922460.67
South,Andhra Pradesh,Sony Sports,Tennis,India Tennis Cup,May,1711909,24.5,Female,45+,26184,3372,580796,1131113,1679673.92
North,Delhi,ESPN India,Hockey,Hockey India League,Jul,101663,77.0,Female,25-34,48011,1469,49588,52075,128922.87
South,Andhra Pradesh,DD Sports,Kabaddi,Pro Kabaddi League,Jan,1860578,25.1,Male,45+,9680,3076,735673,1124905,2039859.63
East,Odisha,Star Sports,Tennis,Chennai Open,Jan,793974,29.4,Female,15-24,9155,4161,173866,620108,1225639.08
West,Maharashtra,ESPN India,Badminton,Asia Championships,Feb,197718,100.8,Male,45+,42976,3743,59712,138006,176214.93
North,Haryana,Jio Sports,Kabaddi,Pro Kabaddi League,Mar,736976,109.2,Female,25-34,30855,4190,347904,389072,577096.91
North,Haryana,Jio Sports,Cricket,World Cup,Nov,319544,91.2,Female,25-34,2154,4599,126296,193248,584966.72
North,Delhi,ESPN India,Kabaddi,Pro Kabaddi League,Jan,438215,104.3,Female,45+,33711,1545,102398,335817,658848.53
West,Maharashtra,ESPN India,Football,ISL,Apr,566349,25.7,Male,45+,17482,2300,281612,284737,287474.43
North,Uttar Pradesh,ESPN India,Tennis,Chennai Open,Aug,752335,66.0,Male,35-44,47760,4167,307247,445088,1179863.53
North,Delhi,Jio Sports,Badminton,India Open,Sep,1908336,33.8,Female,45+,23399,1318,671414,1236922,2836587.53
West,Rajasthan,DD Sports,Cricket,Ranji Trophy,Aug,1929072,68.4,Male,45+,46525,3546,650557,1278515,1689274.32
Central,Madhya Pradesh,DD Sports,Badminton,Asia Championships,Nov,166381,56.3,Female,45+,11677,3454,34624,131757,191602.95
East,Bihar,Jio Sports,Kabaddi,Pro Kabaddi League,Mar,890477,85.2,Female,25-34,6600,4648,272904,617573,752700.53
East,Odisha,Star Sports,Kabaddi,Pro Kabaddi League,Feb,779903,17.6,Male,25-34,45080,116,324259,455644,1553430.89
North,Delhi,Sony Sports,Kabaddi,Pro Kabaddi League,Jun,986093,111.1,Female,35-44,48202,1160,210848,775245,1866159.15
Central,Chhattisgarh,Jio Sports,Badminton,Asia Championships,Sep,1981760,75.1,Female,15-24,1699,1239,662246,1319514,1866170.55
East,Assam,Jio Sports,Badminton,India Open,Jan,1476388,43.2,Female,15-24,20778,227,653637,822751,1563539.63
North,Punjab,Jio Sports,Hockey,Hockey India League,Jun,738105,88.1,Female,45+,35663,2833,161759,576346,476642.18
East,Bihar,Star Sports,Football,Santosh Trophy,Apr,1171567,52.7,Female,25-34,17538,2637,349897,821670,2127635.51
North,Punjab,ESPN India,Hockey,Hockey India League,Sep,247392,29.3,Male,15-24,13533,2906,60710,186682,279471.64
South,Karnataka,Sony Sports,Hockey,Hockey India League,Dec,1542785,110.9,Male,35-44,23009,3050,370081,1172704,1931990.23
West,Rajasthan,Star Sports,Badminton,Asia Championships,Jan,1955324,22.4,Male,45+,41941,4595,863702,1091622,1126565.39
Central,Madhya Pradesh,Sony Sports,Hockey,Hockey India League,Dec,1710786,54.4,Male,35-44,14121,2874,681922,1028864,2579932.36
East,Bihar,Jio Sports,Badminton,India Open,Jul,168834,72.0,Female,25-34,23677,1815,60835,107999,94251.94
South,Karnataka,ESPN India,Football,Santosh Trophy,May,234078,28.3,Female,15-24,49096,3224,91746,142332,212382.33
South,Kerala,Star Sports,Badminton,India Open,Apr,1802683,24.0,Female,45+,1876,1091,564480,1238203,2338137.44
North,Delhi,DD Sports,Hockey,Hockey India League,Mar,512894,29.5,Female,25-34,40567,4464,148815,364079,1002351.46
South,Kerala,DD Sports,Cricket,World Cup,Nov,1079225,98.5,Female,35-44,18214,3775,435050,644175,1744096.63
West,Gujarat,ESPN India,Hockey,Hockey India League,Jul,1648809,116.1,Female,15-24,2150,2031,811865,836944,1835832.44
West,Goa,Jio Sports,Kabaddi,Pro Kabaddi League,Jun,1951625,61.4,Female,25-34,47175,659,439967,1511658,1511141.28
South,Kerala,Sony Sports,Badminton,India Open,Oct,237628,115.3,Male,45+,30375,1570,98858,138770,274106.12
North,Haryana,ESPN India,Kabaddi,Pro Kabaddi League,Jun,302764,41.0,Male,25-34,2679,3606,113271,189493,495554.78
West,Goa,Star Sports,Kabaddi,Pro Kabaddi League,Apr,1052168,24.6,Male,45+,45078,2241,418170,633998,1876216.38
East,Odisha,DD Sports,Kabaddi,Pro Kabaddi League,Apr,241475,16.8,Female,35-44,36247,4746,108037,133438,246173.25
North,Punjab,DD Sports,Cricket,World Cup,Sep,1417293,56.8,Male,25-34,24049,2949,524179,893114,1263290.56
East,West Bengal,DD Sports,Hockey,Hockey India League,Jul,770777,67.8,Female,15-24,42975,1448,240669,530108,1176163.81
West,Goa,ESPN India,Kabaddi,Pro Kabaddi League,Mar,601951,82.5,Female,25-34,30168,995,288232,313719,875601.17
East,Odisha,Sony Sports,Badminton,India Open,Apr,771747,55.8,Male,15-24,36195,1668,252638,519109,916356.44
North,Delhi,DD Sports,Kabaddi,Pro Kabaddi League,Sep,937474,80.7,Male,45+,33320,4013,237939,699535,759378.82
East,Assam,ESPN India,Kabaddi,Pro Kabaddi League,Aug,201836,25.6,Male,45+,13161,2646,96719,105117,288096.84
North,Delhi,ESPN India,Tennis,India Tennis Cup,Mar,601638,48.5,Female,45+,16305,1725,287971,313667,608218.03
South,Kerala,ESPN India,Hockey,Hockey India League,Jun,1942466,27.4,Male,25-34,25052,1616,806986,1135480,3700343.78
South,Kerala,DD Sports,Hockey,Hockey India League,Sep,581831,99.4,Female,15-24,28384,775,162610,419221,445775.24
West,Gujarat,Sony Sports,Tennis,Chennai Open,Feb,593176,75.5,Female,45+,18506,4179,195419,397757,410201.72
Central,Chhattisgarh,Star Sports,Football,ISL,Oct,120640,50.8,Male,25-34,8357,4232,32221,88419,103496.49
South,Andhra Pradesh,Sony Sports,Badminton,Asia Championships,Aug,725510,94.2,Male,45+,22352,4052,199326,526184,912603.47
South,Kerala,Sony Sports,Badminton,India Open,Apr,1276607,46.3,Male,35-44,40954,495,489087,787520,2473824.68
East,Bihar,ESPN India,Football,ISL,Jul,1823832,114.8,Male,15-24,33307,3677,737204,1086628,2640463.39
North,Punjab,ESPN India,Badminton,Asia Championships,Nov,923332,78.3,Female,25-34,32667,3038,436264,487068,756293.71
West,Goa,DD Sports,Badminton,Asia Championships,Aug,1741188,97.9,Female,15-24,19540,3082,457108,1284080,3471749.29
Central,Madhya Pradesh,Star Sports,Football,Santosh Trophy,Mar,939465,108.2,Male,15-24,38098,4946,345292,594173,671236.02
North,Punjab,Jio Sports,Football,ISL,Nov,1253273,106.0,Female,25-34,45261,1642,311954,941319,1427649.91
East,Bihar,Star Sports,Badminton,India Open,Mar,1804279,101.3,Female,15-24,20065,1317,862755,941524,1122303.34
West,Gujarat,ESPN India,Hockey,Hockey India League,Nov,1617908,76.0,Female,15-24,43348,1956,695752,922156,2945466.15
West,Gujarat,Sony Sports,Tennis,India Tennis Cup,Apr,1583584,118.5,Male,45+,26731,1927,341778,1241806,1685549.99
South,Andhra Pradesh,Star Sports,Football,Santosh Trophy,Jun,69870,54.7,Female,25-34,27790,4286,24839,45031,61002.54
North,Haryana,Star Sports,Tennis,India Tennis Cup,Feb,799074,66.7,Female,25-34,5748,4949,372881,426193,961278.8
East,Bihar,ESPN India,Football,ISL,Oct,698249,95.6,Female,45+,26470,1484,193910,504339,1128592.07
Central,Madhya Pradesh,DD Sports,Hockey,Hockey India League,Jun,1662162,116.0,Female,45+,34982,1631,540185,1121977,1543430.66
West,Maharashtra,ESPN India,Football,Santosh Trophy,Jun,1918599,60.8,Male,35-44,3105,3727,655181,1263418,3773598.37
West,Gujarat,DD Sports,Football,Santosh Trophy,Feb,1514492,108.6,Male,35-44,28509,3384,737637,776855,3013001.86
North,Delhi,Jio Sports,Badminton,India Open,Oct,333876,88.0,Male,35-44,45472,1356,141598,192278,275519.04
West,Maharashtra,Jio Sports,Badminton,Asia Championships,Oct,309214,80.9,Male,45+,41821,3430,112442,196772,572583.01
North,Haryana,Jio Sports,Kabaddi,Pro Kabaddi League,Oct,205576,115.7,Male,45+,12023,457,46342,159234,243296.14
Central,Madhya Pradesh,Sony Sports,Tennis,India Tennis Cup,Jan,116203,32.8,Female,45+,37487,2845,46401,69802,98086.04
South,Kerala,Jio Sports,Tennis,Chennai Open,Dec,1394027,117.3,Male,45+,21159,2608,664505,729522,2128814.11
South,Andhra Pradesh,Sony Sports,Tennis,India Tennis Cup,Nov,132844,23.0,Male,35-44,46445,355,61115,71729,182227.95
West,Gujarat,ESPN India,Tennis,Chennai Open,Mar,1043176,112.9,Female,35-44,24793,1115,390698,652478,1110664.32
East,Assam,Jio Sports,Tennis,India Tennis Cup,Aug,77712,118.5,Female,35-44,24833,4258,27657,50055,84665.99
South,Tamil Nadu,Sony Sports,Kabaddi,Pro Kabaddi League,Apr,319114,103.0,Female,35-44,19017,2252,78938,240176,358119.07
West,Rajasthan,DD Sports,Kabaddi,Pro Kabaddi League,Mar,50404,105.8,Male,15-24,19384,2856,24350,26054,100786.65
North,Haryana,Star Sports,Hockey,Hockey India League,Sep,285365,76.4,Male,35-44,4636,2824,64507,220858,466749.22
North,Delhi,ESPN India,Badminton,Asia Championships,Jun,1807266,62.3,Female,35-44,39765,2148,769526,1037740,3489968.98
North,Punjab,Star Sports,Cricket,Ranji Trophy,Feb,984604,107.2,Male,45+,46543,1923,431091,553513,561563.67
South,Andhra Pradesh,Star Sports,Kabaddi,Pro Kabaddi League,Jan,555950,85.5,Female,45+,44125,870,259036,296914,711752.35
North,Uttar Pradesh,ESPN India,Badminton,Asia Championships,Aug,611419,116.6,Male,45+,25285,4958,155964,455455,675755.14
West,Rajasthan,Star Sports,Cricket,IPL,Jul,1021375,59.2,Male,35-44,2252,4081,363596,657779,1589381.71
East,Odisha,DD Sports,Football,Santosh Trophy,Sep,365826,79.8,Male,35-44,40649,1429,83795,282031,506623.84
North,Uttar Pradesh,Sony Sports,Tennis,Chennai Open,Feb,712301,24.6,Female,45+,11209,1431,237592,474709,941070.33
North,Punjab,ESPN India,Cricket,IPL,Mar,1024304,56.6,Male,25-34,5854,3277,271343,752961,1837135.89
East,Assam,Star Sports,Badminton,Asia Championships,Dec,1346516,63.2,Female,25-34,20856,2932,351520,994996,1194853.3
South,Kerala,ESPN India,Kabaddi,Pro Kabaddi League,Apr,700199,80.2,Male,25-34,6569,4400,340466,359733,569749.26
Central,Madhya Pradesh,Jio Sports,Football,Santosh Trophy,Jun,308090,23.0,Male,25-34,18144,3545,131850,176240,476461.6
South,Andhra Pradesh,Jio Sports,Kabaddi,Pro Kabaddi League,Sep,1681107,51.3,Female,15-24,19271,3366,748826,932281,2139803.91
West,Gujarat,Jio Sports,Kabaddi,Pro Kabaddi League,Nov,1960705,38.5,Female,35-44,22508,4799,626288,1334417,2002720.6
North,Uttar Pradesh,Star Sports,Football,Santosh Trophy,Jul,335205,27.7,Female,15-24,40144,623,158683,176522,271348.64
West,Maharashtra,DD Sports,Tennis,Chennai Open,Jan,101745,49.7,Female,25-34,17282,2396,46943,54802,124303.71
South,Tamil Nadu,DD Sports,Tennis,India Tennis Cup,Mar,1272869,106.7,Female,45+,20262,4243,605214,667655,753050.86
North,Haryana,Sony Sports,Cricket,IPL,Dec,145257,23.9,Male,25-34,15178,1376,34791,110466,287519.6
Central,Madhya Pradesh,ESPN India,Tennis,Chennai Open,Sep,1574350,39.8,Female,45+,29699,2225,350746,1223604,1879462.3
North,Uttar Pradesh,ESPN India,Hockey,Hockey India League,Dec,1770684,30.5,Male,15-24,6126,1746,852226,918458,3128198.38
North,Delhi,DD Sports,Kabaddi,Pro Kabaddi League,Nov,498874,26.3,Female,25-34,41441,2006,169800,329074,430880.35
Central,Madhya Pradesh,Star Sports,Football,Santosh Trophy,Feb,910120,34.1,Male,15-24,2062,2076,253722,656398,1602780.46
East,West Bengal,Star Sports,Badminton,Asia Championships,Sep,1498021,27.6,Female,45+,40056,3696,601832,896189,2082831.44
North,Uttar Pradesh,DD Sports,Cricket,IPL,Mar,1730963,83.1,Female,15-24,27734,4306,681080,1049883,2778600.16
North,Haryana,Jio Sports,Hockey,Hockey India League,Jul,587198,60.3,Male,35-44,7738,2572,162283,424915,590821.16
Central,Madhya Pradesh,ESPN India,Football,Santosh Trophy,Aug,1052163,74.9,Female,15-24,11167,2462,322199,729964,2083043.77
East,West Bengal,Star Sports,Kabaddi,Pro Kabaddi League,Jul,1364532,15.8,Female,45+,27900,1833,300051,1064481,1430077.61
East,Odisha,Sony Sports,Tennis,India Tennis Cup,Jul,122303,34.6,Female,15-24,11589,3835,55256,67047,225667.15
North,Uttar Pradesh,ESPN India,Hockey,Hockey India League,Dec,718406,16.9,Female,25-34,5324,2695,348075,370331,1433854.54
Central,Madhya Pradesh,ESPN India,Tennis,India Tennis Cup,May,590677,116.8,Male,15-24,23350,745,224838,365839,1159263.12
West,Goa,ESPN India,Badminton,India Open,Aug,162221,85.2,Male,15-24,39328,4389,72795,89426,216588.45
Central,Madhya Pradesh,Jio Sports,Hockey,Hockey India League,Jan,1439959,103.1,Female,45+,7469,1241,514086,925873,2255593.13
North,Punjab,Sony Sports,Hockey,Hockey India League,Aug,1287715,40.5,Male,45+,3048,4849,447761,839954,1201368.34
Central,Madhya Pradesh,Star Sports,Tennis,Chennai Open,May,838260,112.9,Female,35-44,40756,2126,291856,546404,1165872.67
West,Rajasthan,Star Sports,Hockey,Hockey India League,Apr,435925,29.1,Female,25-34,23422,1773,173943,261982,865285.12
Central,Madhya Pradesh,Jio Sports,Badminton,India Open,May,428892,24.2,Female,45+,2342,2476,126364,302528,703529.47
Central,Madhya Pradesh,Jio Sports,Kabaddi,Pro Kabaddi League,May,1870618,78.6,Female,15-24,37258,3777,669776,1200842,1234699.31
East,Odisha,ESPN India,Tennis,Chennai Open,Apr,657812,116.3,Male,45+,2908,475,164989,492823,1306673.95
Central,Madhya Pradesh,DD Sports,Cricket,Ranji Trophy,May,1819377,22.0,Female,35-44,6415,3491,810770,1008607,2477463.25
South,Andhra Pradesh,ESPN India,Hockey,Hockey India League,Jan,187023,101.9,Female,25-34,31523,1414,49664,137359,139593.72
West,Goa,DD Sports,Kabaddi,Pro Kabaddi League,May,572244,81.5,Female,25-34,21611,700,245661,326583,1039081.12
East,Bihar,Jio Sports,Cricket,Ranji Trophy,Feb,1575848,62.5,Male,15-24,30287,3697,465042,1110806,2914532.72
North,Punjab,ESPN India,Kabaddi,Pro Kabaddi League,Mar,385484,93.5,Female,15-24,19574,1092,157890,227594,327013.42
North,Haryana,ESPN India,Kabaddi,Pro Kabaddi League,Jul,739376,70.8,Female,15-24,37455,2251,282853,456523,1062007.89
North,Haryana,ESPN India,Tennis,Chennai Open,Oct,903938,49.9,Male,25-34,18586,2135,334947,568991,1457321.04
East,West Bengal,ESPN India,Hockey,Hockey India League,Jan,1754858,30.9,Male,15-24,2120,3168,462267,1292591,1531523.73
North,Uttar Pradesh,DD Sports,Hockey,Hockey India League,Jun,1312518,36.5,Male,25-34,33265,4712,599902,712616,2382415.02
North,Haryana,ESPN India,Kabaddi,Pro Kabaddi League,Jun,1273520,71.3,Male,25-34,30486,3328,597441,676079,1668044.98
East,Bihar,Jio Sports,Hockey,Hockey India League,Apr,176108,90.8,Female,35-44,21609,194,75943,100165,246139.82
Central,Chhattisgarh,Jio Sports,Cricket,World Cup,Apr,387827,41.4,Male,35-44,35884,4206,130769,257058,751846.15
East,Odisha,Star Sports,Hockey,Hockey India League,Jul,1076919,57.1,Female,15-24,1814,445,349980,726939,2068680.64
North,Delhi,Jio Sports,Kabaddi,Pro Kabaddi League,Dec,183515,29.6,Male,25-34,45241,1084,41556,141959,162231.54
South,Kerala,DD Sports,Tennis,Chennai Open,Feb,141751,112.9,Female,45+,38219,3035,33789,107962,75770.72
Central,Madhya Pradesh,DD Sports,Kabaddi,Pro Kabaddi League,Apr,50126,75.5,Male,45+,45409,4246,22770,27356,80435.51
Central,Madhya Pradesh,ESPN India,Cricket,IPL,Sep,1273975,110.6,Male,25-34,35560,2961,315778,958197,1087795.09
East,Bihar,ESPN India,Badminton,India Open,Jan,182717,102.9,Male,15-24,36840,1954,81146,101571,176717.74
Central,Madhya Pradesh,Jio Sports,Badminton,Asia Championships,Jul,1531074,56.9,Male,45+,10524,301,493952,1037122,2609379.06
West,Gujarat,ESPN India,Cricket,IPL,Jul,1070020,27.0,Male,25-34,35393,2222,341212,728808,2016388.86
Central,Chhattisgarh,DD Sports,Kabaddi,Pro Kabaddi League,Apr,1630934,92.4,Female,35-44,37368,1054,645710,985224,1922315.48
Central,Chhattisgarh,Sony Sports,Football,Santosh Trophy,Jul,1046530,75.7,Female,25-34,6299,4905,445333,601197,576448.34
West,Goa,DD Sports,Badminton,India Open,Apr,1931248,76.0,Male,35-44,5757,2813,755663,1175585,1003556.96
Central,Madhya Pradesh,Star Sports,Kabaddi,Pro Kabaddi League,Dec,1988900,117.4,Male,15-24,20816,788,687062,1301838,2657086.97
Central,Chhattisgarh,Sony Sports,Tennis,Chennai Open,Mar,1254565,119.7,Female,15-24,21806,1892,595160,659405,1210536.53
East,West Bengal,Sony Sports,Tennis,Chennai Open,Sep,1533741,37.0,Female,45+,28965,2179,421797,1111944,1844090.03
South,Andhra Pradesh,Sony Sports,Hockey,Hockey India League,Feb,1840380,102.8,Female,45+,24570,2165,711643,1128737,1731920.92
North,Punjab,Sony Sports,Tennis,Chennai Open,Mar,874690,70.1,Female,35-44,39000,2261,318399,556291,1089442.07
West,Rajasthan,Star Sports,Badminton,India Open,Jul,993026,34.1,Male,25-34,13342,4995,450266,542760,902117.23
North,Haryana,Jio Sports,Football,Santosh Trophy,Apr,1960637,99.1,Male,45+,17438,1923,670590,1290047,3085960.96
Central,Madhya Pradesh,Sony Sports,Tennis,Chennai Open,Jul,1048748,72.9,Male,45+,48063,2590,396013,652735,1319599.57
South,Kerala,Jio Sports,Tennis,Chennai Open,Oct,1434775,99.0,Female,25-34,7722,3775,672576,762199,1229995.55
East,West Bengal,ESPN India,Cricket,IPL,Nov,1425649,118.8,Female,25-34,10503,3291,368396,1057253,2438252.16
Central,Chhattisgarh,DD Sports,Cricket,IPL,Nov,1110751,85.1,Female,35-44,22389,922,423024,687727,2048784.36
North,Uttar Pradesh,Sony Sports,Kabaddi,Pro Kabaddi League,Sep,1366870,92.3,Male,25-34,21079,3552,423768,943102,2480412.67
North,Uttar Pradesh,Sony Sports,Hockey,Hockey India League,Sep,1542252,108.7,Male,25-34,24236,3694,576144,966108,1371270.46
West,Rajasthan,ESPN India,Kabaddi,Pro Kabaddi League,Jul,1329361,18.6,Female,15-24,15596,904,519890,809471,1481064.33
East,Bihar,Star Sports,Kabaddi,Pro Kabaddi League,Apr,1292845,105.4,Male,35-44,44861,1487,505726,787119,918139.43
South,Kerala,Sony Sports,Kabaddi,Pro Kabaddi League,Dec,1355289,118.5,Male,35-44,49854,4323,447608,907681,1047856.2
North,Delhi,Star Sports,Kabaddi,Pro Kabaddi League,Apr,1782465,43.2,Female,15-24,36367,4133,879218,903247,2584961.63
North,Uttar Pradesh,DD Sports,Tennis,India Tennis Cup,Jan,372918,82.7,Female,35-44,42401,2176,162068,210850,282492.44
North,Punjab,ESPN India,Kabaddi,Pro Kabaddi League,Nov,1487398,101.4,Female,25-34,27665,140,438850,1048548,1355142.78
East,Bihar,ESPN India,Cricket,World Cup,May,278504,90.6,Female,45+,49756,441,97689,180815,196436.79
South,Tamil Nadu,Star Sports,Hockey,Hockey India League,Nov,549512,91.9,Female,25-34,31987,554,230823,318689,747304.21
Central,Madhya Pradesh,DD Sports,Kabaddi,Pro Kabaddi League,Oct,979168,55.2,Male,25-34,37397,4325,366570,612598,733813.03
East,Assam,Sony Sports,Football,Santosh Trophy,May,1083578,24.5,Male,25-34,22874,4989,481855,601723,652719.82
West,Gujarat,DD Sports,Badminton,India Open,Aug,758362,52.3,Female,35-44,26712,286,313501,444861,717169.73
North,Uttar Pradesh,Sony Sports,Football,Santosh Trophy,Sep,428165,84.7,Female,25-34,5853,4601,152935,275230,684575.1
South,Karnataka,Star Sports,Kabaddi,Pro Kabaddi League,Feb,465008,71.7,Female,35-44,49594,1862,194851,270157,819481.04
Central,Madhya Pradesh,ESPN India,Cricket,IPL,Feb,979616,77.7,Male,45+,1481,253,343934,635682,1186663.68
East,Assam,Star Sports,Football,Santosh Trophy,May,674712,91.5,Male,15-24,35008,160,322148,352564,1034066.04
Central,Madhya Pradesh,ESPN India,Cricket,Ranji Trophy,Jul,1153913,23.0,Male,45+,29145,1352,417827,736086,581005.68
South,Andhra Pradesh,Star Sports,Football,Santosh Trophy,Apr,1829122,77.0,Male,45+,27212,3215,765226,1063896,3129893.66
West,Gujarat,Jio Sports,Tennis,Chennai Open,Apr,843392,114.8,Male,35-44,29470,4207,387079,456313,1107248.39
East,West Bengal,Star Sports,Badminton,India Open,Sep,1713191,82.1,Male,15-24,12344,1850,466815,1246376,2717386.46
East,Odisha,Star Sports,Badminton,India Open,Jan,155423,41.2,Male,25-34,12918,3742,38117,117306,307970.99
Central,Madhya Pradesh,DD Sports,Hockey,Hockey India League,Apr,959164,19.6,Male,15-24,30711,4906,286814,672350,1917397.85
West,Rajasthan,ESPN India,Kabaddi,Pro Kabaddi League,Jun,662121,111.1,Male,35-44,45813,4530,218246,443875,1023725.41
North,Uttar Pradesh,ESPN India,Hockey,Hockey India League,Jul,978626,117.0,Male,25-34,30398,1600,217922,760704,1185430.54
West,Rajasthan,ESPN India,Kabaddi,Pro Kabaddi League,Nov,1021741,62.8,Male,15-24,18850,3661,494048,527693,1498710.11
North,Haryana,Star Sports,Kabaddi,Pro Kabaddi League,Oct,1188189,39.2,Female,35-44,31907,230,381551,806638,1835078.5
North,Delhi,Jio Sports,Cricket,Ranji Trophy,Jun,184055,57.5,Male,45+,41998,4059,67676,116379,240971.6
Central,Chhattisgarh,Star Sports,Cricket,World Cup,Jun,891052,92.5,Male,35-44,49288,4211,268656,622396,1016000.29
Central,Chhattisgarh,ESPN India,Cricket,World Cup,Feb,911291,17.6,Female,35-44,1545,2561,391958,519333,455970.18
South,Tamil Nadu,DD Sports,Badminton,Asia Championships,Jun,1829468,113.6,Female,45+,4810,913,624432,1205036,1877158.07
Central,Chhattisgarh,Sony Sports,Tennis,Chennai Open,Mar,472845,18.9,Male,35-44,13984,371,223863,248982,856093.28
South,Karnataka,DD Sports,Football,Santosh Trophy,Oct,895038,24.6,Male,15-24,25574,3530,340575,554463,1149030.8
South,Kerala,Jio Sports,Kabaddi,Pro Kabaddi League,Mar,1502608,26.6,Female,45+,34933,475,643668,858940,1398715.41
East,West Bengal,Jio Sports,Cricket,World Cup,Feb,1809555,76.9,Female,45+,26280,2732,516328,1293227,1201908.96
West,Rajasthan,ESPN India,Badminton,Asia Championships,Jan,172744,37.9,Male,15-24,44001,1928,51151,121593,290126.57
Central,Madhya Pradesh,ESPN India,Football,ISL,Aug,288506,118.1,Male,25-34,41970,1968,93313,195193,572331.67
East,Odisha,Star Sports,Kabaddi,Pro Kabaddi League,Feb,860694,39.3,Male,15-24,49988,984,174420,686274,1502740.55
West,Maharashtra,ESPN India,Kabaddi,Pro Kabaddi League,Sep,1001661,33.5,Female,15-24,18320,2900,431515,570146,1939120.93
South,Tamil Nadu,Sony Sports,Hockey,Hockey India League,Nov,195271,21.1,Female,25-34,8214,826,77125,118146,356502.13
North,Punjab,DD Sports,Tennis,Chennai Open,Jun,126898,70.1,Male,45+,43874,2566,40712,86186,207777.42
